id,customer,status,body
1,northwind,open,"Our API integration started returning 500 errors about 20 minutes ago and we cannot process any customer orders until this is fixed."
2,acme,open,"Hi! Just wondering when the new export format lands. No rush, whenever you get to it."
3,globex,open,"I have been charged twice for invoice 4471 and nobody has replied in three days. I want the duplicate refunded today."
4,initech,closed,"Thanks for sorting out the SSO config so quickly, everything works now."
5,umbrella,open,"The billing page throws a blank screen in Safari when I click Export. Works in Chrome. A few of our finance people only use Safari."
6,hooli,open,"We are evaluating your enterprise tier for about 400 seats. Could someone walk us through volume pricing and the security questionnaire?"
7,stark,open,"Password reset emails never arrive. I have checked spam. This is blocking two of our engineers from logging in."
8,wayne,open,"Please cancel our subscription at the end of the term. We are consolidating onto another vendor and will not be renewing."
9,cyberdyne,open,"Small thing: the dashboard chart legend overlaps the axis labels at 1280px width. Cosmetic only."
10,soylent,open,"URGENT: production webhooks have been silently dropping events since your deploy this morning. We are missing payment confirmations."
11,tyrell,open,"Could you add SAML group mapping to the roadmap? Not urgent but it would save us a lot of manual work."
12,vehement,open,"Your support team promised a callback twice and nobody rang. Frankly this is the worst onboarding I have experienced."
13,massive,open,"Where can I find the data retention policy? Our auditor is asking for it this week."
14,pied-piper,open,"The SDK docs show a method compress(data) but the package exports compressData(data). Docs or code is wrong."
15,vandelay,open,"We are getting rate limited at 100 req/min but our plan says 1000. Can you check what tier our key is on?"
